iter	Passed	Remaining
695	805	351
696	806	350
697	807	349
698	808	347
699	808	346
700	809	345
701	810	344
702	811	342
703	812	341
704	813	340
705	814	339
706	815	337
707	816	336
708	817	335
709	818	334
710	818	332
711	819	331
712	820	330
713	821	329
714	822	327
715	823	326
716	824	325
717	825	324
718	826	322
719	827	321
720	828	320
721	828	319
722	829	317
723	830	316
724	831	315
725	832	314
726	833	313
727	834	311
728	835	310
729	836	309
730	836	307
731	837	306
732	838	305
733	839	304
734	840	302
735	841	301
736	842	300
737	843	299
738	844	298
739	845	297
740	846	295
741	847	294
742	848	293
743	849	292
744	850	291
745	851	289
746	852	288
747	853	287
748	853	286
749	854	284
750	855	283
751	856	282
752	857	281
753	858	280
754	859	279
755	860	277
756	861	276
757	862	275
758	863	274
759	864	273
760	865	271
761	866	270
762	867	269
763	868	268
764	868	266
765	869	265
766	871	264
767	872	263
768	873	262
769	873	261
770	874	259
771	875	258
772	876	257
773	877	256
774	878	255
775	879	253
776	880	252
777	881	251
778	882	250
779	883	249
780	884	247
781	885	246
782	885	245
783	887	244
784	888	243
785	889	242
786	890	240
787	891	239
788	891	238
789	892	237
790	893	236
791	894	234
792	895	233
793	896	232
794	897	231
795	898	230
796	899	229
797	900	227
798	901	226
799	902	225
800	903	224
801	904	223
802	905	222
803	906	220
804	906	219
805	907	218
806	908	217
807	909	216
808	910	214
809	911	213
810	912	212
811	913	211
812	914	210
813	915	209
814	916	207
815	917	206
816	918	205
817	919	204
818	919	203
819	920	202
820	921	200
821	922	199
822	923	198
823	924	197
824	925	196
825	926	195
826	927	193
827	928	192
828	929	191
829	930	190
830	931	189
831	932	188
832	933	187
833	934	185
834	935	184
835	936	183
836	937	182
837	938	181
838	938	180
839	939	179
840	940	177
841	941	176
842	942	175
843	943	174
844	944	173
845	945	172
846	946	171
847	947	169
848	949	168
849	950	167
850	951	166
851	952	165
852	953	164
853	954	163
854	954	161
855	956	160
856	957	159
857	957	158
858	959	157
859	960	156
860	961	155
861	962	154
862	977	155
863	978	154
864	979	152
865	980	151
866	981	150
867	982	149
868	983	148
869	984	147
870	985	145
871	985	144
872	986	143
873	987	142
874	988	141
875	989	140
876	990	138
877	992	137
878	993	136
879	994	135
880	995	134
881	996	133
882	998	132
883	999	131
884	1000	129
885	1001	128
886	1001	127
887	1002	126
888	1003	125
